director_name,actor_3_name,actor_2_name,actor_1_name,genres,movie_title,combination
Peter H. Hunt,Howard Caine,Ken Howard,Blythe Danner,Drama Family History Musical,1776,Blythe Danner Ken Howard Howard Caine Peter H. Hunt Drama Family History Musical
Ruba Nadda,Fadia Nadda,Bonnie Lee Bouman,Saad Siddiqui,Drama Mystery Romance Thriller,inescapable,Saad Siddiqui Bonnie Lee Bouman Fadia Nadda Ruba Nadda Drama Mystery Romance Thriller
Howard Hughes,James Hall,Marian Marsh,Jean Harlow,Drama War,hell's angels,Jean Harlow Marian Marsh James Hall Howard Hughes Drama War
Edward Burns,Peter Jacobson,Rosemarie DeWitt,Debra Messing,Comedy Drama Romance,purple violets,Debra Messing Rosemarie DeWitt Peter Jacobson Edward Burns Comedy Drama Romance
Phil Joanou,Kira McLean,Shannon Woodward,Lily Rabe,Horror,the veil,Lily Rabe Shannon Woodward Kira McLean Phil Joanou Horror
Sean Byrne,Victoria Thaine,Jessica McNamee,Robin McLeavy,Horror Thriller,the loved ones,Robin McLeavy Jessica McNamee Victoria Thaine Sean Byrne Horror Thriller
Chris Stokes,Black Thomas,Rachel Sterling,Kristen Quintrall,Horror,no vacancy,Kristen Quintrall Rachel Sterling Black Thomas Chris Stokes Horror
Mark Griffiths,Brooke D'Orsay,Gina Holden,Eric Mabius,Comedy Romance,how to fall in love,Eric Mabius Gina Holden Brooke D'Orsay Mark Griffiths Comedy Romance
Bruce Macdonald,Diana Vickers,Cheryl Ladd,Rachel Hendrix,Adventure Biography Drama Romance,the perfect wave,Rachel Hendrix Cheryl Ladd Diana Vickers Bruce Macdonald Adventure Biography Drama Romance
Timur Bekmambetov,Moises Arias,Ayelet Zurer,Morgan Freeman,Adventure Drama History,ben-hur,Morgan Freeman Ayelet Zurer Moises Arias Timur Bekmambetov Adventure Drama History
Fred Zinnemann,Paul Scofield,Susannah York,Robert Shaw,Biography Drama History,a man for all seasons,Robert Shaw Susannah York Paul Scofield Fred Zinnemann Biography Drama History
Sidney Lumet,William Holden,Faye Dunaway,Robert Duvall,Drama Romance,network,Robert Duvall Faye Dunaway William Holden Sidney Lumet Drama Romance
Victor Fleming,Thomas Mitchell,George Reeves,Hattie McDaniel,Drama History Romance War,gone with the wind,Hattie McDaniel George Reeves Thomas Mitchell Victor Fleming Drama History Romance War
Richard Raymond,Marama Corlett,Reece Ritchie,Tom Cullen,Biography Drama,desert dancer,Tom Cullen Reece Ritchie Marama Corlett Richard Raymond Biography Drama
Sam Peckinpah,Warren Oates,Slim Pickens,James Coburn,Adventure War Western,major dundee,James Coburn Slim Pickens Warren Oates Sam Peckinpah Adventure War Western
Alan Jacobs,Nicholas Gonzalez,Laz Alonso,Snoop Dogg,Drama,down for life,Snoop Dogg Laz Alonso Nicholas Gonzalez Alan Jacobs Drama
George Sidney,Betty Hutton,Howard Keel,Keenan Wynn,Biography Comedy Musical Romance Western,annie get your gun,Keenan Wynn Howard Keel Betty Hutton George Sidney Biography Comedy Musical Romance Western
Christopher Morris,Alex Macqueen,Riz Ahmed,Kayvan Novak,Comedy Crime Drama,four lions,Kayvan Novak Riz Ahmed Alex Macqueen Christopher Morris Comedy Crime Drama
Andrucha Waddington,Fernanda Torres,Seu Jorge,Fernanda Montenegro,Drama,house of sand,Fernanda Montenegro Seu Jorge Fernanda Torres Andrucha Waddington Drama
Peter Stebbings,Charlotte Sullivan,Tony Nappo,Michael Kelly,Comedy Crime Drama,defendor,Michael Kelly Tony Nappo Charlotte Sullivan Peter Stebbings Comedy Crime Drama
Vincente Minnelli,Ellen Ross,Reginald Owen,Gladys Cooper,Adventure Comedy Musical Romance,the pirate,Gladys Cooper Reginald Owen Ellen Ross Vincente Minnelli Adventure Comedy Musical Romance
Dagur Kári,Stephen Henderson,Susan Blommaert,Alice Olivia Clarke,Drama,the good heart,Alice Olivia Clarke Susan Blommaert Stephen Henderson Dagur Kári Drama
Nicholas Hytner,James Corden,Russell Tovey,Dominic Cooper,Comedy Drama,the history boys,Dominic Cooper Russell Tovey James Corden Nicholas Hytner Comedy Drama
Jaume Collet-Serra,Aidan Quinn,Frank Langella,Liam Neeson,Action Mystery Thriller,unknown,Liam Neeson Frank Langella Aidan Quinn Jaume Collet-Serra Action Mystery Thriller
John Schlesinger,John McGiver,Barnard Hughes,Brenda Vaccaro,Drama,midnight cowboy,Brenda Vaccaro Barnard Hughes John McGiver John Schlesinger Drama
Jim Abrahams,Barbara Billingsley,Lloyd Bridges,Peter Graves,Comedy,airplane!,Peter Graves Lloyd Bridges Barbara Billingsley Jim Abrahams Comedy
Kevin Carraway,Jon Osbeck,Max Ryan,Michael Jai White,Action Thriller,chain of command,Michael Jai White Max Ryan Jon Osbeck Kevin Carraway Action Thriller
F. Gary Gray,Tony Cox,John Witherspoon,Nia Long,Comedy Drama,friday,Nia Long John Witherspoon Tony Cox F. Gary Gray Comedy Drama
Albert Hughes,Khandi Alexander,Larenz Tate,Jada Pinkett Smith,Crime Drama Thriller,menace ii society,Jada Pinkett Smith Larenz Tate Khandi Alexander Albert Hughes Crime Drama Thriller
Michael Gornick,Dorothy Lamour,Holt McCallany,George Kennedy,Comedy Fantasy Horror Thriller,creepshow 2,George Kennedy Holt McCallany Dorothy Lamour Michael Gornick Comedy Fantasy Horror Thriller
Sam Peckinpah,L.Q. Jones,Jason Robards,Slim Pickens,Comedy Drama Romance Western,the ballad of cable hogue,Slim Pickens Jason Robards L.Q. Jones Sam Peckinpah Comedy Drama Romance Western
Richard Brooks,Will Geer,Robert Blake,John Forsythe,Biography Crime Drama History,in cold blood,John Forsythe Robert Blake Will Geer Richard Brooks Biography Crime Drama History
Fred Zinnemann,Beatrice Straight,Peter Finch,Colleen Dewhurst,Drama,the nun's story,Colleen Dewhurst Peter Finch Beatrice Straight Fred Zinnemann Drama
Jack Smight,Shelley Winters,Robert Wagner,Janet Leigh,Action Crime Drama Mystery Thriller,harper,Janet Leigh Robert Wagner Shelley Winters Jack Smight Action Crime Drama Mystery Thriller
Alfred Hitchcock,Clive Swift,Jean Marsh,Bernard Cribbins,Thriller,frenzy,Bernard Cribbins Jean Marsh Clive Swift Alfred Hitchcock Thriller
Robert Eggers,Ralph Ineson,Kate Dickie,Julian Richings,Horror Mystery,the witch,Julian Richings Kate Dickie Ralph Ineson Robert Eggers Horror Mystery
Michael Martin,Anthony Johnson,Master P,Joe Estevez,Comedy,i got the hook up,Joe Estevez Master P Anthony Johnson Michael Martin Comedy
Edward Burns,Michael McGlone,Frank Vincent,John Mahoney,Comedy Drama Romance,she's the one,John Mahoney Frank Vincent Michael McGlone Edward Burns Comedy Drama Romance
Bill Condon,Kevin J. O'Connor,Lynn Redgrave,Brendan Fraser,Biography Drama,gods and monsters,Brendan Fraser Lynn Redgrave Kevin J. O'Connor Bill Condon Biography Drama
Juan José Campanella,Guillermo Francella,Soledad Villamil,Ricardo Darín,Drama Mystery Thriller,the secret in their eyes,Ricardo Darín Soledad Villamil Guillermo Francella Juan José Campanella Drama Mystery Thriller
George A. Romero,Joseph Pilato,John Amplas,Greg Nicotero,Horror,day of the dead,Greg Nicotero John Amplas Joseph Pilato George A. Romero Horror
Gideon Raff,Derek Magyar,Gloria Votsis,Gideon Emery,Horror Thriller,train,Gideon Emery Gloria Votsis Derek Magyar Gideon Raff Horror Thriller
Sam Raimi,Kassie Wesley DePaiva,Dan Hicks,Ted Raimi,Comedy Fantasy Horror Thriller,evil dead ii,Ted Raimi Dan Hicks Kassie Wesley DePaiva Sam Raimi Comedy Fantasy Horror Thriller
Louis C.K.,Robert Vaughn,J.B. Smoove,Wanda Sykes,Action Adventure Comedy Musical,pootie tang,Wanda Sykes J.B. Smoove Robert Vaughn Louis C.K. Action Adventure Comedy Musical
Anthony C. Ferrante,Cassandra Scerbo,John Heard,Ian Ziering,Horror,sharknado,Ian Ziering John Heard Cassandra Scerbo Anthony C. Ferrante Horror
Salvador Carrasco,Damián Delgado,Zaide Silvia Gutiérrez,Elpidia Carrillo,Drama History,la otra conquista,Elpidia Carrillo Zaide Silvia Gutiérrez Damián Delgado Salvador Carrasco Drama History
André Øvredal,Glenn Erland Tosterud,Johanna Mørck,Otto Jespersen,Comedy Drama Fantasy Horror,trollhunter,Otto Jespersen Johanna Mørck Glenn Erland Tosterud André Øvredal Comedy Drama Fantasy Horror
Robert Cary,Kevin Sussman,Fred Willard,Frances Conroy,Comedy Romance,ira & abby,Frances Conroy Fred Willard Kevin Sussman Robert Cary Comedy Romance
Akiva Schaffer,Rosemarie DeWitt,Nicholas Braun,Will Forte,Action Comedy Sci-Fi,the watch,Will Forte Nicholas Braun Rosemarie DeWitt Akiva Schaffer Action Comedy Sci-Fi
Adam Rapp,Dallas Roberts,Will Ferrell,Zooey Deschanel,Comedy Drama,winter passing,Zooey Deschanel Will Ferrell Dallas Roberts Adam Rapp Comedy Drama
Angela Robinson,Scoot McNairy,Geoff Stults,Jordana Brewster,Action Comedy Romance,d.e.b.s.,Jordana Brewster Geoff Stults Scoot McNairy Angela Robinson Action Comedy Romance
Warren P. Sonoda,Lara Jean Chorostecki,Mykel Shannon Jenkins,Diahann Carroll,Action Biography Crime Drama Family Fantasy,the masked saint,Diahann Carroll Mykel Shannon Jenkins Lara Jean Chorostecki Warren P. Sonoda Action Biography Crime Drama Family Fantasy
Amanda Gusack,Blaine Anderson,Christian Campbell,Alice Krige,Crime Drama Mystery Thriller,the betrayed,Alice Krige Christian Campbell Blaine Anderson Amanda Gusack Crime Drama Mystery Thriller
Avi Nesher,Robert Townsend,Elizabeth Berkley,Fisher Stevens,Action Comedy Crime Thriller,taxman,Fisher Stevens Elizabeth Berkley Robert Townsend Avi Nesher Action Comedy Crime Thriller
Charles Adelman,Jere Burns,Kevin Pollak,Teri Polo,Horror Thriller,2:13,Teri Polo Kevin Pollak Jere Burns Charles Adelman Horror Thriller
Jay Oliva,Grey Griffin,Mark Valley,Michael Emerson,Action Animation Crime Sci-Fi Thriller,"batman: the dark knight returns, part 2",Michael Emerson Mark Valley Grey Griffin Jay Oliva Action Animation Crime Sci-Fi Thriller
Charles Ferguson,Peter Agnefjall,Jerry Brown,Jane Goodall,Documentary,time to choose,Jane Goodall Jerry Brown Peter Agnefjall Charles Ferguson Documentary
Uwe Boll,Ralitsa Paskaleva,Shelly Varod,Bashar Rahal,Action Adventure Fantasy Thriller,in the name of the king: the last job,Bashar Rahal Shelly Varod Ralitsa Paskaleva Uwe Boll Action Adventure Fantasy Thriller
Mark Young,Lew Temple,Jake Busey,Alexa PenaVega,Action Crime Drama Thriller,wicked blood,Alexa PenaVega Jake Busey Lew Temple Mark Young Action Crime Drama Thriller
Daniel Petrie Jr.,Rita Wilson,Jeff Fahey,Chris Brochu,Drama Thriller,dawn patrol,Chris Brochu Jeff Fahey Rita Wilson Daniel Petrie Jr. Drama Thriller
Antonio Simoncini,Glen Murphy,Joe Egan,Ray Winstone,Crime Mystery Thriller,lords of london,Ray Winstone Joe Egan Glen Murphy Antonio Simoncini Crime Mystery Thriller
Mel Brooks,Dick Van Patten,Harvey Korman,Madeline Kahn,Comedy,high anxiety,Madeline Kahn Harvey Korman Dick Van Patten Mel Brooks Comedy
Luc Jacquet,Romane Bohringer,Sofie Gråbøl,Morgan Freeman,Documentary,march of the penguins,Morgan Freeman Sofie Gråbøl Romane Bohringer Luc Jacquet Documentary
J.C. Chandor,Ashley Williams,Demi Moore,Kevin Spacey,Biography Drama Thriller,margin call,Kevin Spacey Demi Moore Ashley Williams J.C. Chandor Biography Drama Thriller
Eldar Rapaport,Edward Conna,Adrian Gonzalez,Murray Bartlett,Drama Romance,august,Murray Bartlett Adrian Gonzalez Edward Conna Eldar Rapaport Drama Romance
Clark Gregg,Jonah Bobo,Matt Gerald,Anjelica Huston,Comedy Drama,choke,Anjelica Huston Matt Gerald Jonah Bobo Clark Gregg Comedy Drama
Damien Chazelle,Chris Mulkey,Melissa Benoist,J.K. Simmons,Drama Music,whiplash,J.K. Simmons Melissa Benoist Chris Mulkey Damien Chazelle Drama Music
Fernando Meirelles,Alexandre Rodrigues,Seu Jorge,Alice Braga,Crime Drama,city of god,Alice Braga Seu Jorge Alexandre Rodrigues Fernando Meirelles Crime Drama
Justin Kerrigan,Shaun Parkes,John Simm,Danny Dyer,Comedy Music,human traffic,Danny Dyer John Simm Shaun Parkes Justin Kerrigan Comedy Music
Nathan Frankowski,Luis Antonio,Rus Blackwell,Corbin Bleu,Biography Drama Music,day one,Corbin Bleu Rus Blackwell Luis Antonio Nathan Frankowski Biography Drama Music
Karen Moncrieff,Piper Laurie,Bruce Davison,James Franco,Crime Drama Mystery,the dead girl,James Franco Bruce Davison Piper Laurie Karen Moncrieff Crime Drama Mystery
Thomas Vinterberg,Hana Shuan,Alexandra Rapaport,Thomas Bo Larsen,Drama,the hunt,Thomas Bo Larsen Alexandra Rapaport Hana Shuan Thomas Vinterberg Drama
Bob Clark,Scott Schwartz,Darren McGavin,Zack Ward,Comedy Family,a christmas story,Zack Ward Darren McGavin Scott Schwartz Bob Clark Comedy Family
Alejandro Monteverde,Eduardo Verástegui,Ramon Rodriguez,Armando Riesco,Drama Romance,bella,Armando Riesco Ramon Rodriguez Eduardo Verástegui Alejandro Monteverde Drama Romance
Mark L. Lester,Timothy Van Patten,Perry King,Roddy McDowall,Action Crime Drama Thriller,class of 1984,Roddy McDowall Perry King Timothy Van Patten Mark L. Lester Action Crime Drama Thriller
Jennifer Finnigan,Josh Hopkins,Kenan Thompson,Geoff Stults,Comedy,the opposite sex,Geoff Stults Kenan Thompson Josh Hopkins Jennifer Finnigan Comedy
Eric Styles,Miriam Margolyes,Rupert Graves,Samantha Morton,Drama Romance,dreaming of joseph lees,Samantha Morton Rupert Graves Miriam Margolyes Eric Styles Drama Romance
Laurent Cantet,Angélica Sancio,Agame Malembo-Emene,François Bégaudeau,Drama,the class,François Bégaudeau Agame Malembo-Emene Angélica Sancio Laurent Cantet Drama
Roman Polanski,Charles Grodin,Mia Farrow,John Cassavetes,Drama Horror,rosemary's baby,John Cassavetes Mia Farrow Charles Grodin Roman Polanski Drama Horror
John Ford,Vera Miles,Woody Strode,Lee Marvin,Drama Western,the man who shot liberty valance,Lee Marvin Woody Strode Vera Miles John Ford Drama Western
Max Mayer,Amy Irving,Terry Walters,Peter Gallagher,Drama Romance,adam,Peter Gallagher Terry Walters Amy Irving Max Mayer Drama Romance
Joshua Marston,Yenny Paola Vega,Wilson Guerrero,Catalina Sandino Moreno,Crime Drama,maria full of grace,Catalina Sandino Moreno Wilson Guerrero Yenny Paola Vega Joshua Marston Crime Drama
Mike Mills,Mary Page Keller,Lou Taylor Pucci,Goran Visnjic,Comedy Drama Romance,beginners,Goran Visnjic Lou Taylor Pucci Mary Page Keller Mike Mills Comedy Drama Romance
John Gulager,Henry Rollins,Eric Dane,Krista Allen,Action Comedy Horror Thriller,feast,Krista Allen Eric Dane Henry Rollins John Gulager Action Comedy Horror Thriller
John Landis,Tim Matheson,Karen Allen,John Belushi,Comedy,animal house,John Belushi Karen Allen Tim Matheson John Landis Comedy
Guy Hamilton,Lois Maxwell,Gert Fröbe,Honor Blackman,Action Adventure Thriller,goldfinger,Honor Blackman Gert Fröbe Lois Maxwell Guy Hamilton Action Adventure Thriller
Brandon Cronenberg,Caleb Landry Jones,Douglas Smith,Sarah Gadon,Horror Sci-Fi Thriller,antiviral,Sarah Gadon Douglas Smith Caleb Landry Jones Brandon Cronenberg Horror Sci-Fi Thriller
Frank Capra,Thomas Mitchell,Lionel Barrymore,Donna Reed,Drama Family Fantasy Romance,it's a wonderful life,Donna Reed Lionel Barrymore Thomas Mitchell Frank Capra Drama Family Fantasy Romance
Danny Boyle,Ewen Bremner,Shirley Henderson,Kelly Macdonald,Drama,trainspotting,Kelly Macdonald Shirley Henderson Ewen Bremner Danny Boyle Drama
Spike Lee,Steve Harvey,Cedric the Entertainer,Bernie Mac,Comedy Documentary,the original kings of comedy,Bernie Mac Cedric the Entertainer Steve Harvey Spike Lee Comedy Documentary
Tod Williams,Micah Sloat,Molly Ephraim,Sprague Grayden,Horror,paranormal activity 2,Sprague Grayden Molly Ephraim Micah Sloat Tod Williams Horror
Kirk Jones,Fionnula Flanagan,David Kelly,James Nesbitt,Comedy,waking ned devine,James Nesbitt David Kelly Fionnula Flanagan Kirk Jones Comedy
Michael Moore,Bill Clinton,Dick Clark,Michael Moore,Crime Documentary Drama,bowling for columbine,Michael Moore Dick Clark Bill Clinton Michael Moore Crime Documentary Drama
Yimou Zhang,Ni Yan,Daoming Chen,Li Gong,Drama,coming home,Li Gong Daoming Chen Ni Yan Yimou Zhang Drama
Jack Sholder,Marshall Bell,Robert Rusler,Clu Gulager,Fantasy Horror,a nightmare on elm street 2: freddy's revenge,Clu Gulager Robert Rusler Marshall Bell Jack Sholder Fantasy Horror
James Ivory,Denholm Elliott,Rupert Graves,Julian Sands,Drama Romance,a room with a view,Julian Sands Rupert Graves Denholm Elliott James Ivory Drama Romance
James DeMonaco,Chris Mulkey,Adelaide Kane,Rhys Wakefield,Horror Sci-Fi Thriller,the purge,Rhys Wakefield Adelaide Kane Chris Mulkey James DeMonaco Horror Sci-Fi Thriller
Scott Derrickson,James Ransone,Victoria Leigh,Danielle Kotch,Horror Mystery,sinister,Danielle Kotch Victoria Leigh James Ransone Scott Derrickson Horror Mystery
David Raynr,Dayna Devon,Mikki Padilla,Nancy O'Dell,Biography Comedy Documentary,martin lawrence live: runteldat,Nancy O'Dell Mikki Padilla Dayna Devon David Raynr Biography Comedy Documentary
Richard Brooks,Jack Carson,Judith Anderson,Burl Ives,Drama Romance,cat on a hot tin roof,Burl Ives Judith Anderson Jack Carson Richard Brooks Drama Romance
Ted Post,Victor Buono,Gregory Sierra,Linda Harrison,Action Adventure Sci-Fi,beneath the planet of the apes,Linda Harrison Gregory Sierra Victor Buono Ted Post Action Adventure Sci-Fi
Charles Martin Smith,Michael Jeter,Bill Cobbs,Kevin Zegers,Comedy Drama Family Sport,air bud,Kevin Zegers Bill Cobbs Michael Jeter Charles Martin Smith Comedy Drama Family Sport
Kunihiko Yuyama,Lisa Ortiz,Eric Stuart,Veronica Taylor,Action Adventure Animation Family Fantasy Sci-Fi,pokémon 3: the movie,Veronica Taylor Eric Stuart Lisa Ortiz Kunihiko Yuyama Action Adventure Animation Family Fantasy Sci-Fi
Tom McLoughlin,Vincent Guastaferro,Ron Palillo,Tony Goldwyn,Horror Thriller,jason lives: friday the 13th part vi,Tony Goldwyn Ron Palillo Vincent Guastaferro Tom McLoughlin Horror Thriller
David Lean,Jack Hawkins,Sessue Hayakawa,William Holden,Adventure Drama War,the bridge on the river kwai,William Holden Sessue Hayakawa Jack Hawkins David Lean Adventure Drama War
Patrick Read Johnson,Tonya Lee Williams,Royal Dano,Ariana Richards,Adventure Comedy Sci-Fi,spaced invaders,Ariana Richards Royal Dano Tonya Lee Williams Patrick Read Johnson Adventure Comedy Sci-Fi
Alfred Hitchcock,William Devane,Bruce Dern,Ed Lauter,Comedy Thriller,family plot,Ed Lauter Bruce Dern William Devane Alfred Hitchcock Comedy Thriller
Billy Wilder,David White,Ray Walston,Fred MacMurray,Comedy Drama Romance,the apartment,Fred MacMurray Ray Walston David White Billy Wilder Comedy Drama Romance
Adam Marcus,Erin Gray,Leslie Jordan,Kane Hodder,Fantasy Horror Thriller,jason goes to hell: the final friday,Kane Hodder Leslie Jordan Erin Gray Adam Marcus Fantasy Horror Thriller
Alfred Hitchcock,David Opatoshu,Lila Kedrova,Tamara Toumanova,Thriller,torn curtain,Tamara Toumanova Lila Kedrova David Opatoshu Alfred Hitchcock Thriller
Michel Gondry,Lauryn Hill,Dave Chappelle,Common,Comedy Documentary Music,dave chappelle's block party,Common Dave Chappelle Lauryn Hill Michel Gondry Comedy Documentary Music
John Maclean,Ben Mendelsohn,Kodi Smit-McPhee,Michael Fassbender,Western,slow west,Michael Fassbender Kodi Smit-McPhee Ben Mendelsohn John Maclean Western
Michael Schultz,Bobby Brown,LisaGay Hamilton,Blair Underwood,Comedy Drama Music,krush groove,Blair Underwood LisaGay Hamilton Bobby Brown Michael Schultz Comedy Drama Music
Benny Boom,Mike Epps,Donald Faison,Omari Hardwick,Action Comedy Crime,next day air,Omari Hardwick Donald Faison Mike Epps Benny Boom Action Comedy Crime
Richard Brooks,Edward Andrews,Jean Simmons,Shirley Jones,Drama,elmer gantry,Shirley Jones Jean Simmons Edward Andrews Richard Brooks Drama
Stanley Kramer,Spencer Tracy,Montgomery Clift,Maximilian Schell,Drama War,judgment at nuremberg,Maximilian Schell Montgomery Clift Spencer Tracy Stanley Kramer Drama War
David Raynr,Countess Vaughn,Deon Richmond,Donald Faison,Comedy,trippin',Donald Faison Deon Richmond Countess Vaughn David Raynr Comedy
Howard Hawks,Harry Carey Jr.,Walter Brennan,Montgomery Clift,Action Adventure Romance Western,red river,Montgomery Clift Walter Brennan Harry Carey Jr. Howard Hawks Action Adventure Romance Western
Nnegest Likké,Joyful Drake,Jimmy Jean-Louis,Mo'Nique,Comedy,phat girlz,Mo'Nique Jimmy Jean-Louis Joyful Drake Nnegest Likké Comedy
Richard Linklater,Athina Rachel Tsangari,Ariane Labed,Seamus Davey-Fitzpatrick,Drama Romance,before midnight,Seamus Davey-Fitzpatrick Ariane Labed Athina Rachel Tsangari Richard Linklater Drama Romance
Christopher Leitch,Kim Darby,Robert Neary,John Astin,Comedy Fantasy,teen wolf too,John Astin Robert Neary Kim Darby Christopher Leitch Comedy Fantasy
Don Coscarelli,James Le Gros,A. Michael Baldwin,Angus Scrimm,Action Fantasy Horror Sci-Fi Thriller,phantasm ii,Angus Scrimm A. Michael Baldwin James Le Gros Don Coscarelli Action Fantasy Horror Sci-Fi Thriller
Michael Schultz,Clifton Powell,Kimberly Elise,Loretta Devine,Drama,woman thou art loosed,Loretta Devine Kimberly Elise Clifton Powell Michael Schultz Drama
Patricia Cardoso,George Lopez,Lupe Ontiveros,America Ferrera,Comedy Drama,real women have curves,America Ferrera Lupe Ontiveros George Lopez Patricia Cardoso Comedy Drama
Deepa Mehta,Seema Biswas,Lisa Ray,John Abraham,Drama Romance,water,John Abraham Lisa Ray Seema Biswas Deepa Mehta Drama Romance
Damien O'Donnell,Om Puri,Jimi Mistry,Archie Panjabi,Comedy Drama,east is east,Archie Panjabi Jimi Mistry Om Puri Damien O'Donnell Comedy Drama
Peter M. Cohen,David Heyman,Brian Van Holt,Callie Thorne,Comedy Romance,whipped,Callie Thorne Brian Van Holt David Heyman Peter M. Cohen Comedy Romance
Mira Nair,Rekha,Sarita Choudhury,Indira Varma,Crime Drama History Romance,kama sutra: a tale of love,Indira Varma Sarita Choudhury Rekha Mira Nair Crime Drama History Romance
Nicole Holofcener,Ann Morgan Guilbert,Thomas Ian Nicholas,Oliver Platt,Comedy Drama,please give,Oliver Platt Thomas Ian Nicholas Ann Morgan Guilbert Nicole Holofcener Comedy Drama
Mel Stuart,Julie Dawn Cole,Jack Albertson,Peter Ostrum,Family Fantasy Musical,willy wonka & the chocolate factory,Peter Ostrum Jack Albertson Julie Dawn Cole Mel Stuart Family Fantasy Musical
Anthony Hickox,Paula Marshall,Zach Galligan,Julian Sands,Fantasy Horror,warlock: the armageddon,Julian Sands Zach Galligan Paula Marshall Anthony Hickox Fantasy Horror
Tom Schulman,Dyan Cannon,George Hamilton,Kristy Swanson,Comedy Crime,8 heads in a duffel bag,Kristy Swanson George Hamilton Dyan Cannon Tom Schulman Comedy Crime
Terrence Malick,Richard Libertini,Stuart Margolin,Sam Shepard,Drama Romance,days of heaven,Sam Shepard Stuart Margolin Richard Libertini Terrence Malick Drama Romance
Jill Sprecher,Amy Irving,Rob McElhenney,Matthew McConaughey,Drama,thirteen conversations about one thing,Matthew McConaughey Rob McElhenney Amy Irving Jill Sprecher Drama
Darren Stein,Jeff Conaway,Judy Greer,Julie Benz,Comedy Crime Thriller,jawbreaker,Julie Benz Judy Greer Jeff Conaway Darren Stein Comedy Crime Thriller
Julian Schnabel,Courtney Love,Michael Wincott,Gary Oldman,Biography Drama,basquiat,Gary Oldman Michael Wincott Courtney Love Julian Schnabel Biography Drama
Noah Baumbach,Vanessa Ray,Grace Gummer,Greta Gerwig,Comedy Drama Romance,frances ha,Greta Gerwig Grace Gummer Vanessa Ray Noah Baumbach Comedy Drama Romance
Gavin Hood,Rapulana Seiphemo,Nambitha Mpumlwana,Terry Pheto,Crime Drama,tsotsi,Terry Pheto Nambitha Mpumlwana Rapulana Seiphemo Gavin Hood Crime Drama
Todd Solondz,Dylan Baker,Jon Lovitz,Philip Seymour Hoffman,Comedy Drama,happiness,Philip Seymour Hoffman Jon Lovitz Dylan Baker Todd Solondz Comedy Drama
George Gallo,Robert Noble,Joe Howard,Eddie Griffin,Comedy Documentary,dysfunktional family,Eddie Griffin Joe Howard Robert Noble George Gallo Comedy Documentary
Kevin Smith,Michael Parks,Haley Joel Osment,Johnny Depp,Comedy Drama Horror,tusk,Johnny Depp Haley Joel Osment Michael Parks Kevin Smith Comedy Drama Horror
Chan-wook Park,Hye-jeong Kang,Ji-tae Yu,Min-sik Choi,Drama Mystery Thriller,oldboy,Min-sik Choi Ji-tae Yu Hye-jeong Kang Chan-wook Park Drama Mystery Thriller
David Nixon,Christopher Schmidt,Michael Bolten,Robyn Lively,Drama Family,letters to god,Robyn Lively Michael Bolten Christopher Schmidt David Nixon Drama Family
Jason Eisener,Molly Dunsworth,Robb Wells,Gregory Smith,Action Comedy Thriller,hobo with a shotgun,Gregory Smith Robb Wells Molly Dunsworth Jason Eisener Action Comedy Thriller
Enrique Begne,Erick Elias,Héctor Jiménez,Kevin Pollak,Action Comedy,compadres,Kevin Pollak Héctor Jiménez Erick Elias Enrique Begne Action Comedy
Matthew Bright,Robert Peters,Dan Hedaya,Bokeem Woodbine,Comedy Crime Drama Thriller,freeway,Bokeem Woodbine Dan Hedaya Robert Peters Matthew Bright Comedy Crime Drama Thriller
Michael Landon Jr.,Brianna Brown,Kevin Gage,William Morgan Sheppard,Drama Family Western,love's abiding joy,William Morgan Sheppard Kevin Gage Brianna Brown Michael Landon Jr. Drama Family Western
Andrea Arnold,Jason Maza,Harry Treadaway,Michael Fassbender,Drama,fish tank,Michael Fassbender Harry Treadaway Jason Maza Andrea Arnold Drama
Whit Stillman,Zach Woods,Megalyn Echikunwoke,Greta Gerwig,Comedy Drama Romance,damsels in distress,Greta Gerwig Megalyn Echikunwoke Zach Woods Whit Stillman Comedy Drama Romance
Leslye Headland,Andrew Rannells,Adam Scott,Kirsten Dunst,Comedy Romance,bachelorette,Kirsten Dunst Adam Scott Andrew Rannells Leslye Headland Comedy Romance
Bobby Roth,Lindsey Haun,Aaron Ashmore,Virginia Madsen,Drama Family Music,brave new girl,Virginia Madsen Aaron Ashmore Lindsey Haun Bobby Roth Drama Family Music
Tim Heidecker,Bob Ross,William Atherton,Michael Gross,Comedy,tim and eric's billion dollar movie,Michael Gross William Atherton Bob Ross Tim Heidecker Comedy
Rupert Wyatt,Griffin Cleveland,Cjon Saulsberry,George Kennedy,Crime Drama Thriller,the gambler,George Kennedy Cjon Saulsberry Griffin Cleveland Rupert Wyatt Crime Drama Thriller
Marco Kreuzpaintner,Robert Stadlober,Kostja Ullmann,Alicja Bachleda,Comedy Drama Romance Sport,summer storm,Alicja Bachleda Kostja Ullmann Robert Stadlober Marco Kreuzpaintner Comedy Drama Romance Sport
Kate Connor,Brendan Fehr,Eric Stoltz,Johnny Pacar,Drama History War,fort mccoy,Johnny Pacar Eric Stoltz Brendan Fehr Kate Connor Drama History War
Deon Taylor,Noah Segan,Betsy Russell,Matt Cohen,Horror Thriller,chain letter,Matt Cohen Betsy Russell Noah Segan Deon Taylor Horror Thriller
