director_name,actor_3_name,actor_2_name,actor_1_name,genres,movie_title
Shawn Levy,Jane Fonda,Abigail Spencer,Tina Fey,Comedy Drama,this is where i leave you
John Patrick Shanley,Carrie Preston,Meryl Streep,Philip Seymour Hoffman,Drama Mystery,doubt
Trey Parker,Trey Parker,Maurice LaMarche,Jeremy Shada,Action Comedy,team america: world police
John Luessenhop,Shaun Sipos,Keram Malicki-Sánchez,Gunnar Hansen,Horror Thriller,texas chainsaw 3d
Jon Amiel,Harry Connick Jr.,Holly Hunter,William McNamara,Crime Drama Mystery Thriller,copycat
Malcolm D. Lee,Molly Shannon,Snoop Dogg,Marisa Saks,Comedy,scary movie 5
Joshua Logan,Ray Walston,Lee Marvin,Clint Eastwood,Comedy Drama Musical Romance Western,paint your wagon
Gus Van Sant,Lucas Grabeel,Denis O'Hare,James Franco,Biography Drama History,milk
Kevin Reynolds,María Botto,Jan Cornet,Peter Firth,Action Adventure Drama Mystery,risen
Steve Beck,Francesca Rettondini,Ron Eldard,Isaiah Washington,Horror,ghost ship
Todd Strauss-Schulson,Paula Garcés,Thomas Lennon,Patton Oswalt,Adventure Comedy,a very harold & kumar 3d christmas
John McNaughton,Jeff Perry,Robert Wagner,Bill Murray,Crime Drama Mystery Thriller,wild things
Nelson McCormick,Skyler Samuels,Paige Turco,Sela Ward,Crime Thriller,the stepfather
John Madden,Romi Aboulafia,Jesper Christensen,Tom Wilkinson,Drama Thriller,the debt
Stephen Frears,Lisa Bonet,Lili Taylor,Drake Bell,Comedy Drama Music Romance,high fidelity
Eric Valette,Margaret Cho,Jason Beghe,Johnny Lewis,Horror Mystery,one missed call
John Schlesinger,Philip Baker Hall,Beverly D'Angelo,Joe Mantegna,Crime Drama Thriller,eye for an eye
Roger Donaldson,Daniel Mays,Saffron Burrows,Jason Statham,Crime Drama Romance Thriller,the bank job
Michel Gondry,Tom Wilkinson,Kirsten Dunst,Kate Winslet,Drama Fantasy Romance Sci-Fi,eternal sunshine of the spotless mind
Andy Fickman,Christine Lakin,James Wolk,Jamie Lee Curtis,Comedy Family Romance,you again
David Ayer,Noel Gugliemi,Chris Evans,Keanu Reeves,Action Crime Drama Thriller,street kings
Edgar Wright,Jasper Levine,Thomas Law,Michael Smiley,Action Comedy Sci-Fi,the world's end
Andrew Fleming,Tate Donovan,Laura Harring,Kay Panabaker,Comedy Crime Family Mystery Romance Thriller,nancy drew
Michael Spierig,Tiffany Lamb,Damien Garvey,Jay Laga'aia,Action Horror Sci-Fi Thriller,daybreakers
Jim Field Smith,Geoff Stults,Kim Shaw,Mike Vogel,Comedy Romance,she's out of my league
Thomas Bezucha,Brett Cullen,Luke Bracey,Leighton Meester,Adventure Comedy Family Romance,monte carlo
William Brent Bell,Samaire Armstrong,Frankie Muniz,Adam Goldberg,Horror Thriller,stay alive
Simon Wincer,Ben Mendelsohn,Tom Selleck,Alan Rickman,Action Adventure Drama Romance Western,quigley down under
Anthony Bell,Christine Lakin,Larry Miller,Kevin Sussman,Adventure Animation Comedy Family Romance,alpha and omega
Renny Harlin,Toby Hemingway,Kyle Schmid,Laura Ramsey,Action Fantasy Horror Thriller,the covenant
Jessica Bendinger,John Patrick Amedori,Vanessa Lengies,Jeff Bridges,Comedy Drama Sport,stick it
Robert Rodriguez,Jake Short,Leo Howard,Jimmy Bennett,Comedy Family Fantasy,shorts
Gus Van Sant,Holland Taylor,Wayne Knight,Kurtwood Smith,Comedy Crime Drama,to die for
Henry Joost,Emily Meade,Marc John Jefferies,Samira Wiley,Adventure Crime Mystery Sci-Fi Thriller,nerve
Ed Harris,Tom Bower,James Gammon,Viggo Mortensen,Crime Drama Western,appaloosa
John Carpenter,Maximilian Schell,Cary-Hiroyuki Tagawa,Sheryl Lee,Action Horror Thriller,vampires
,unknown,unknown,Pablo Sevilla,Action Adventure Animation Family Fantasy,yu-gi-oh! duel monsters            
Alfred Hitchcock,John Gavin,Vera Miles,Janet Leigh,Horror Mystery Thriller,psycho
Howard Deutch,Riki Lindhome,Taran Killam,Dane Cook,Comedy Romance,my best friend's girl
Shana Feste,Rhys Wakefield,Bruce Greenwood,Alex Pettyfer,Drama Romance,endless love
Garry Marshall,Jane Fonda,Zachary Gordon,Hector Elizondo,Comedy Drama,georgia rule
Steve Rash,Billy Barty,Adam Arkin,Mako,Comedy,under the rainbow
Richard Donner,Leo McKern,John Wood,Matthew Broderick,Adventure Comedy Drama Fantasy,ladyhawke
Mark Steven Johnson,Dana Ivey,Jan Hooks,Oliver Platt,Comedy Drama Family,simon birch
Mike Binder,John de Lancie,Don Cheadle,Adam Sandler,Drama,reign over me
Sean Penn,Hal Holbrook,William Hurt,Kristen Stewart,Adventure Biography Drama,into the wild
Todd Phillips,Jacinda Barrett,Sarah Silverman,Jon Heder,Comedy,school for scoundrels
Michael J. Bassett,Martin Donovan,Deborah Kara Unger,Radha Mitchell,Adventure Drama Horror Mystery Thriller,silent hill: revelation 3d
Robert Rodriguez,Cheech Marin,Salma Hayek,Quentin Tarantino,Crime Fantasy Horror,from dusk till dawn
Frank Nissen,John Fiedler,Brenda Blethyn,Kath Soucie,Animation Family Fantasy Mystery,pooh's heffalump movie
Jodie Foster,Steve Guttenberg,Holly Hunter,Robert Downey Jr.,Comedy Drama Romance,home for the holidays
Stephen Chow,Qiu Yuen,Chi Ling Chiu,Shengyi Huang,Action Comedy Crime Fantasy,kung fu hustle
,Sharon Lawrence,Mark Feuerstein,Leah Remini,Comedy,fired up            
Peter Hastings,Stephen Root,Alex Rocco,Haley Joel Osment,Comedy Family Music Musical,the country bears
Marc Forster,Khalid Abdalla,Shaun Toub,Mustafa Haidari,Drama,the kite runner
Alejandro G. Iñárritu,Danny Huston,Eddie Marsan,Naomi Watts,Drama,21 grams
Paul Abascal,Kelly Carlson,Tom Hollander,Cole Hauser,Action Crime Drama Thriller,paparazzi
Catherine Hardwicke,Anna Kendrick,Taylor Lautner,Kristen Stewart,Drama Fantasy Romance,twilight
Chris Koch,James Brolin,Lochlyn Munro,Thomas Lennon,Comedy Romance,a guy thing
Amy Heckerling,Zak Orth,Robert Miano,Andy Dick,Comedy Romance,loser
Michael Moore,Bernie Sanders,Michael Moore,Ronald Reagan,Crime Documentary News,capitalism: a love story
George Stevens,José Ferrer,Carroll Baker,Martin Landau,Biography Drama History,the greatest story ever told
Billy Ray,Joe Cole,Michael Kelly,Julia Roberts,Crime Drama Mystery Thriller,secret in their eyes
Jason Friedberg,Ike Barinholtz,Tony Cox,Carmen Electra,Comedy,disaster movie
Nimród Antal,Lorna Raver,Fred Ward,Andrew Fiscella,Action Crime Thriller,armored
Jon Amiel,Joanne Whalley,Peter Gallagher,Bill Murray,Action Comedy Crime Thriller,the man who knew too little
Mark Mylod,Ed Begley Jr.,Ari Graynor,Chris Evans,Comedy Romance,what's your number?
James Mather,Jacky Ido,Vincent Regan,Joseph Gilgun,Action Adventure Sci-Fi Thriller,lockout
Barry Levinson,Sam Lerner,Ariel Gade,Amy Poehler,Comedy,envy
Mark Neveldine,David Carradine,Clifton Collins Jr.,Jason Statham,Action Crime Sci-Fi Thriller,crank: high voltage
Woody Allen,Dianne Wiest,Chazz Palminteri,Jim Broadbent,Comedy Crime,bullets over broadway
Michael O. Sajbel,Nimrat Kaur,Tiffany Dupont,James Callis,Biography Drama History,one night with the king
Phillip Noyce,Holmes Osborne,Tzi Ma,Brendan Fraser,Drama Mystery Romance Thriller War,the quiet american
Gore Verbinski,Michael Rispoli,Hope Davis,Nicolas Cage,Comedy Drama,the weather man
Walter Hill,Jon Seda,Wes Studi,Fisher Stevens,Action Crime Drama Sport,undisputed
David Koepp,Jordan Carlos,Dequina Moore,Aasif Mandvi,Comedy Drama Fantasy Romance,ghost town
Renny Harlin,Nick Gomez,Ashley Scott,Taylor Cole,Action Crime Thriller,12 rounds
Matt Reeves,Kodi Smit-McPhee,Dylan Minnette,Chloë Grace Moretz,Drama Fantasy Horror Mystery,let me in
Charles T. Kanganis,Don Stark,Dustin Nguyen,Victor Wong,Action Comedy Family,3 ninjas kick back
Michel Gondry,Melonie Diaz,Mia Farrow,Quinton Aaron,Comedy,be kind rewind
Stephen Frears,Sarah Solemani,Christopher Guest,Bob Hoskins,Comedy Drama Music War,mrs henderson presents
John Hillcoat,Clifton Collins Jr.,Norman Reedus,Kate Winslet,Action Crime Drama Thriller,triple 9
Woody Allen,Judy Davis,Lynn Cohen,Woody Allen,Comedy,deconstructing harry
Damon Santostefano,David Ramsey,Oliver Platt,Matthew Perry,Comedy Romance,three to tango
John Wells,Riccardo Scamarcio,Omar Sy,Bradley Cooper,Comedy Drama,burnt
Neil Jordan,James Russo,Demi Moore,Robert De Niro,Comedy Crime,we're no angels
Woody Allen,Jeff DeRocker,Gaby Hoffmann,Natasha Lyonne,Comedy Musical Romance,everyone says i love you
Frank Oz,Kris Marshall,Ewen Bremner,Peter Dinklage,Comedy,death at a funeral
James Wan,Edi Gathegi,Kelly Preston,Aisha Tyler,Action Crime Thriller,death sentence
Kirk Jones,Brendan Sexton III,James Frain,Robert De Niro,Adventure Drama,everybody's fine
Bob Clark,Peter Wingfield,Vanessa Angel,Scott Baio,Comedy Family Sci-Fi,superbabies: baby geniuses 2
Les Mayfield,Gigi Rice,Susie Essman,Miguel Ferrer,Action Comedy Crime,the man
Les Mayfield,Cedric the Entertainer,Will Patton,Callum Rennie,Action Comedy Crime,code name: the cleaner
Michael Lembeck,Dash Mihok,Nia Vardalos,Debbie Reynolds,Comedy Crime Music,connie and carla
Bob Fosse,Ben Vereen,Ricardo Montalban,Sammy Davis Jr.,Comedy Drama Music Musical Romance,sweet charity
Paul Thomas Anderson,Serena Scott Thomas,Katherine Waterston,Martin Dew,Comedy Crime Drama Mystery Romance,inherent vice
Dave Borthwick,Jon Stewart,Kylie Minogue,Jimmy Fallon,Adventure Animation Comedy Family Fantasy,doogal
Benson Lee,Laz Alonso,Caity Lotz,Chris Brown,Drama Music,battle of the year
,Scott Wolf,Eric McCormack,LeVar Burton,Crime Drama Mystery Thriller,perception            
David Zucker,Gary Coleman,Geoffrey Arend,Chriss Anglin,Comedy Fantasy,an american carol
Robert Rodriguez,Marko Zaror,Demián Bichir,Alexa PenaVega,Action Comedy Crime Thriller,machete kills
Glen Morgan,Jackie Burroughs,Ty Olsson,Laura Harring,Drama Horror Sci-Fi Thriller,willard
Fred Wolf,Jeff Garlin,Ashley Scott,Kevin Alejandro,Adventure Comedy,strange wilderness
Mike Leigh,Lesley Manville,Dexter Fletcher,Jim Broadbent,Biography Comedy Drama History Music Musical,topsy-turvy
Alejandro Monteverde,Michael Rapaport,Cary-Hiroyuki Tagawa,Tom Wilkinson,Drama War,little boy
David Cronenberg,Sarah Gadon,Viggo Mortensen,Michael Fassbender,Biography Drama Thriller,a dangerous method
Richard Linklater,Rory Cochrane,Keanu Reeves,Robert Downey Jr.,Animation Drama Mystery Sci-Fi Thriller,a scanner darkly
Michael Apted,Leven Rambin,Abigail Spencer,Gerard Butler,Biography Drama Sport,chasing mavericks
Uwe Boll,Karin Konoval,Darren Shahlavi,Catherine Lough Haggquist,Horror Sci-Fi,alone in the dark
Todd Graff,Ryan Donowho,Charlie Saxton,Scott Porter,Comedy Drama Family Music Romance,bandslam
Jonathan Glazer,Danny Huston,Anne Heche,Cameron Bright,Drama Mystery Romance Thriller,birth
J.C. Chandor,Albert Brooks,Ashley Williams,David Oyelowo,Action Crime Drama Thriller,a most violent year
Paul Gross,Caroline Dhavernas,Michael Greyeyes,Landon Liboiron,Drama History Romance War,passchendaele
Marc Abraham,Victoria Learn,Bill Lake,Dylan Authors,Biography Drama,flash of genius
Todd Haynes,Tyrone Benskin,Heath Ledger,Christian Bale,Biography Drama Music,i'm not there.
Mabrouk El Mechri,Óscar Jaenada,Bruce Willis,Henry Cavill,Action Thriller,the cold light of day
Rian Johnson,Nora Zehetner,Maximilian Schell,Zachary Gordon,Adventure Comedy Drama Romance,the brothers bloom
Charlie Kaufman,Samantha Morton,Jennifer Jason Leigh,Philip Seymour Hoffman,Comedy Drama Romance,"synecdoche, new york"
Hayao Miyazaki,Billy Crudup,Jada Pinkett Smith,Minnie Driver,Adventure Animation Fantasy,princess mononoke
Jean-Paul Rappeneau,Virginie Ledoyen,Peter Coyote,Isabelle Adjani,Comedy Drama Mystery Romance Thriller War,bon voyage
Nancy Walker,Caitlyn Jenner,Randy Jones,Steve Guttenberg,Biography Comedy Musical,can't stop the music
John Hillcoat,Danny Huston,Noah Taylor,Ray Winstone,Crime Drama Western,the proposition
Angelo Pizzo,Brent Anderson,Finn Wittrock,Donny Boaz,Biography Drama Sport,courage
Richard Benjamin,Paula Garcés,Jane Krakowski,Damon Wayans,Comedy Music,marci x
Kurt Wimmer,Sean Pertwee,Emily Watson,Christian Bale,Action Drama Sci-Fi Thriller,equilibrium
Roger Spottiswoode,Matthew Walker,Guang Li,Radha Mitchell,Drama War,the children of huang shi
James Gray,Faye Dunaway,Ellen Burstyn,Charlize Theron,Crime Drama Romance Thriller,the yards
Matthew Diamond,Toni Braxton,Garrett Clayton,Chazz Palminteri,Adventure Family Fantasy Musical,the oogieloves in the big balloon adventure
Angelina Jolie Pitt,Melvil Poupaud,Angelina Jolie Pitt,Brad Pitt,Drama Romance,by the sea
Katsuhiro Ôtomo,Rosalind Ayres,Robin Atkin Downes,William Hootkins,Action Adventure Animation Family Sci-Fi Thriller,steamboy
David Anspaugh,Jimmy Jean-Louis,Costas Mandylor,Gerard Butler,Drama History Sport,the game of their lives
Andrew Jarecki,Frank Langella,Kirsten Dunst,Ryan Gosling,Crime Drama Mystery Romance Thriller,all good things
Kevin Reynolds,Sandrine Holt,Jason Scott Lee,Esai Morales,Action Adventure Drama History Romance,rapa nui
Stephen Chow,Chi Chung Lam,Yuqi Zhang,Jiao Xu,Comedy Family Sci-Fi,cj7
Jean-Marie Poiré,Marie-Anne Chazel,Philippe Nahon,Christian Clavier,Comedy Family Fantasy Sci-Fi,les couloirs du temps: les visiteurs ii
Kevin Munroe,Anita Briem,Laura Spencer,Marco St. John,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,dylan dog: dead of night
Daniel Algrant,Mark Webber,Richard Schiff,Al Pacino,Crime Drama Mystery,people i know
,Ewen Solon,George Coulouris,Peter Vaughan,Drama Family,the doombolt chase            
Julie Taymor,Tom Conti,Reeve Carney,Djimon Hounsou,Comedy Drama Fantasy Romance,the tempest
Alejandro Amenábar,Julian Richings,Aaron Ashmore,Emma Watson,Crime Drama Mystery Thriller,regression
Jane Clark,Elea Oberon,Traci Dinwiddie,Necar Zadegan,Romance Short,the touch
Daniel Lee,Andy On,Sammo Kam-Bo Hung,Andy Lau,Action Drama History War,three kingdoms: resurrection of the dragon
Mike Barker,Callum Rennie,Nicholas Lea,Gerard Butler,Crime Drama Thriller,shattered
Wayne Thornley,Noureen DeWulf,Phil LaMarr,Leonard Nimoy,Adventure Animation Comedy Family,zambezia
Gnana Rajasekaran,Kevin McGowan,Michael Lieber,Mani Bharathi,Biography Drama History,ramanujan
Tom Walsh,Jacqueline Lovell,Maggie Wheeler,Joey D. Vieira,Animation,dwegons and leprechauns
Jonathan Jakubowicz,Edgar Ramírez,Jurnee Smollett-Bell,Robert De Niro,Action Biography Drama Sport,hands of stone
James McTeigue,Robert Forster,Roger Rees,Milla Jovovich,Action Crime Thriller,survivor
Scott Walker,Jodi Lyn O'Keefe,Radha Mitchell,Nicolas Cage,Crime Drama Mystery Thriller,the frozen ground
John Curran,Alan David,Sally Hawkins,Toby Jones,Drama Romance,the painted veil
Uli Edel,Martina Gedeck,Alexandra Maria Lara,Moritz Bleibtreu,Action Biography Crime Drama,the baader meinhof complex
Kevin Costner,Maury Chaykin,Michael Spears,Mary McDonnell,Adventure Drama Western,dances with wolves
Jake Kasdan,Phyllis Smith,John Michael Higgins,Justin Timberlake,Comedy,bad teacher
Harold Becker,Ellen Barkin,Michael O'Neill,Al Pacino,Crime Drama Mystery Thriller,sea of love
Mark Rosman,Julie Gonzalo,Lin Shaye,Dan Byrd,Comedy Family Romance,a cinderella story
Wes Craven,Roger Jackson,W. Earl Brown,David Arquette,Horror Mystery,scream
Steve Beck,F. Murray Abraham,Embeth Davidtz,Shannon Elizabeth,Horror,thir13en ghosts
Stanley Kubrick,Joe Turkel,Shelley Duvall,Scatman Crothers,Drama Horror,the shining
Robert Zemeckis,J.J. Cohen,Thomas F. Wilson,Lea Thompson,Adventure Comedy Sci-Fi,back to the future
William Malone,Bridgette Wilson-Sampras,Peter Gallagher,Jeffrey Combs,Horror Mystery Thriller,house on haunted hill
Tyler Perry,Hope Olaide Wilson,Mary J. Blige,Eric Mendenhall,Comedy Drama,i can do bad all by myself
Rob Hawk,Cabrina Collesides,Erin O'Brien,Kari J. Kramer,Action Drama,fight valley
Josh Gordon,Kelli Barrett,Scott Elrod,Caroline Dhavernas,Comedy Drama Romance,the switch
Shawn Levy,David Moscow,David Agranov,Taran Killam,Comedy Romance,just married
Lee Tamahori,Ludivine Sagnier,Dominic Cooper,Mem Ferda,Biography Drama Thriller,the devil's double
,Paul 'Pauly D' DelVecchio,Jenni 'Jwoww' Farley,Nicole 'Snooki' Polizzi,Comedy Drama Reality-TV Romance,"gone, baby, gone            "
Britt Allcroft,Peter Fonda,Colm Feore,Mara Wilson,Adventure Comedy Drama Family Fantasy,thomas and the magic railroad
Breck Eisner,John Aylward,Glenn Morshower,Radha Mitchell,Horror Thriller,the crazies
Hayao Miyazaki,Miyu Irino,Ryûnosuke Kamiki,Bunta Sugawara,Adventure Animation Family Fantasy,spirited away
Alan Yuen,Terence Yin,Michael Wong,Andy Lau,Action Crime Thriller,firestorm
Roger Donaldson,Laurence Olivier,Anthony Hopkins,Liam Neeson,Action Adventure Drama History Romance,the bounty
Brian Percival,Roger Allam,Sophie Nélisse,Emily Watson,Drama War,the book thief
Sean Anders,Alice Greczyn,Michael Cudlitz,Katrina Bowden,Adventure Comedy Romance,sex drive
Anand Tucker,Dominique McElligott,Kaitlin Olson,Adam Scott,Comedy Romance,leap year
Anthony Mann,Stephen Boyd,Mel Ferrer,James Mason,Drama History War,the fall of the roman empire
Michael Dowse,Dan Fogler,Michael Biehn,Topher Grace,Comedy Drama Romance,take me home tonight
Daniel Barnz,Dante Brown,Rosie Perez,Holly Hunter,Drama,won't back down
Emile Ardolino,Margaret Tracey,Kyra Nichols,Darci Kistler,Family Fantasy Music,the nutcracker
Robert Altman,Miranda Richardson,Jennifer Jason Leigh,Steve Buscemi,Crime Drama Music Thriller,kansas city
James Schamus,Tracy Letts,Sarah Gadon,Logan Lerman,Drama,indignation
Andrew Douglas,Ryan Reynolds,Chloë Grace Moretz,Jimmy Bennett,Drama Horror Mystery Thriller,the amityville horror
Spike Jonze,Roger Willie,Meryl Streep,Nicolas Cage,Comedy Drama,adaptation.
George A. Romero,Pedro Miguel Arce,Shawn Roberts,Tony Nappo,Horror,land of the dead
Danny Pang,Ching Wan Lau,Angelica Lee,Louis Koo,Action,out of inferno
Terry Gilliam,Ellen Barkin,Michael Jeter,Johnny Depp,Adventure Comedy Drama,fear and loathing in las vegas
Ricky Gervais,Martin Starr,Tina Fey,Jennifer Garner,Comedy Fantasy Romance,the invention of lying
Nicholas Stoller,Ike Barinholtz,Carla Gallo,Craig Roberts,Comedy,neighbors
Chuck Russell,Reg E. Cathey,Amy Yasbeck,Peter Greene,Action Comedy Crime Fantasy,the mask
Penny Marshall,John Heard,Jon Lovitz,Tom Hanks,Comedy Drama Family Fantasy Romance,big
Larry Charles,Chester,Ken Davitian,Luenell,Comedy,borat: cultural learnings of america for make benefit glorious nation of kazakhstan
Robert Luketic,Alanna Ubach,Raquel Welch,Linda Cardellini,Comedy Romance,legally blonde
Leonard Nimoy,Walter Koenig,Nichelle Nichols,Leonard Nimoy,Action Adventure Sci-Fi,star trek iii: the search for spock
Scott Derrickson,JR Bourne,Colm Feore,Tom Wilkinson,Drama Horror Thriller,the exorcism of emily rose
Mike Mitchell,Bree Turner,Eddie Griffin,Amy Poehler,Comedy Romance,deuce bigalow: male gigolo
Vic Armstrong,Quinton Aaron,Lea Thompson,Nicolas Cage,Action Drama Fantasy Mystery Thriller,left behind
Thomas Bezucha,Tyrone Giordano,Paul Schneider,Craig T. Nelson,Comedy Drama Romance,the family stone
Kevin Rodney Sullivan,Kenan Thompson,Sean Patrick Thomas,Harry Lennix,Comedy Drama,barbershop 2: back in business
Terry Zwigoff,Alex Borstein,Tony Cox,Bernie Mac,Comedy Crime Drama,bad santa
Jay Roach,Robert Wagner,Charles Napier,Will Ferrell,Comedy Crime,austin powers: international man of mystery
Kirk Jones,Joey Fatone,Louis Mandylor,Nia Vardalos,Comedy Family Romance,my big fat greek wedding 2
David Bowers,Fran Kranz,Rachael Harris,Zachary Gordon,Comedy Family,diary of a wimpy kid: rodrick rules
John McTiernan,Carl Weathers,Bill Duke,Shane Black,Action Horror Sci-Fi,predator
Milos Forman,Tom Hulce,F. Murray Abraham,Jeffrey Jones,Biography Drama History Music,amadeus
Nelson McCormick,Collins Pennie,Scott Porter,Ming-Na Wen,Horror Mystery,prom night
Mark Waters,Neil Flynn,Amy Poehler,Tina Fey,Comedy,mean girls
Audrey Wells,Mario Monicelli,Lindsay Duncan,Raoul Bova,Comedy Drama Romance,under the tuscan sun
Robert Altman,Tom Hollander,Bob Balaban,Kristin Scott Thomas,Drama Mystery,gosford park
,Tate Donovan,Melinda Clarke,Peter Gallagher,Comedy Drama Romance,the o.c.            
Francis Ford Coppola,Joan Allen,Kathleen Turner,Nicolas Cage,Comedy Drama Fantasy Romance,peggy sue got married
Alejandro G. Iñárritu,Merritt Wever,Naomi Watts,Emma Stone,Comedy Drama Romance,birdman or (the unexpected virtue of ignorance)
Woody Allen,Andrew Dice Clay,Charlie Tahan,Sally Hawkins,Drama,blue jasmine
Paul Greengrass,Susan Blommaert,David Alan Basche,Christian Clemenson,Drama History Thriller,united 93
Bille Woodruff,Romeo Miller,Mekhi Phifer,Christian Monzon,Drama Music Romance,honey
Edward Zwick,Matthew Broderick,Morgan Freeman,Denzel Washington,Drama History War,glory
Rick Friedberg,Nicollette Sheridan,Barry Bostwick,Hulk Hogan,Action Comedy,spy hard
John Carpenter,Janet Leigh,Hal Holbrook,Jamie Lee Curtis,Fantasy Horror,the fog
Sean McNamara,Craig T. Nelson,Chris Brochu,Dennis Quaid,Biography Drama Family Sport,soul surfer
Mike Nichols,Martin Balsam,Bob Balaban,Bob Newhart,Comedy Drama War,catch-22
Jody Hill,Dan Bakkedahl,Celia Weston,Collette Wolfe,Comedy Crime Drama,observe and report
Richard Fleischer,Grace Jones,Olivia d'Abo,Mako,Action Adventure Fantasy,conan the destroyer
Martin Scorsese,Frank Vincent,Cathy Moriarty,Robert De Niro,Biography Drama Sport,raging bull
Brandon Camp,Frances Conroy,Sasha Alexander,Judy Greer,Drama Romance,love happens
Barry Levinson,Freddie Jones,Roger Ashton-Griffiths,Nicholas Rowe,Adventure Fantasy Mystery Thriller,young sherlock holmes
Kevin Tancharoen,Megan Mullally,Kay Panabaker,Kelsey Grammer,Comedy Drama Musical Romance,fame
Danny Boyle,Kate Burton,Treat Williams,James Franco,Adventure Biography Drama Thriller,127 hours
Woody Allen,Michael Rapaport,Jon Lovitz,Woody Allen,Comedy Crime,small time crooks
Nicholas Hytner,Ethan Stiefel,Susan May Pratt,Amanda Schull,Drama Music Romance,center stage
Jessie Nelson,Timothée Chalamet,Alex Borstein,Olivia Wilde,Comedy,love the coopers
Bart Freundlich,Kevin G. Schmidt,Corbin Bleu,Kristen Stewart,Comedy Crime,catch that kid
Irwin Winkler,Kristin Scott Thomas,Hayden Christensen,Ian Somerhalder,Drama,life as a house
Danny Boyle,Michael Stuhlbarg,Michael Fassbender,Kate Winslet,Biography Drama,steve jobs
Chris Columbus,Shawn Roberts,Marie Avgeropoulos,Alan Ruck,Comedy Romance,"i love you, beth cooper"
Miguel Arteta,Fred Willard,Ari Graynor,Steve Buscemi,Comedy Drama Romance,youth in revolt
William A. Fraker,Michael Horse,Richard Farnsworth,Jason Robards,Action Adventure Western,the legend of the lone ranger
John Boorman,Mark Margolis,Jamie Lee Curtis,Daniel Radcliffe,Drama Thriller,the tailor of panama
Brian De Palma,John McMartin,Dennis Franz,Nancy Allen,Mystery Thriller,blow out
Courtney Solomon,Bruce Payne,Paul Freeman,Rebecca Budig,Action Crime Thriller,getaway
Ang Lee,Henry Czerny,Kate Burton,Joan Allen,Drama,the ice storm
Rob Reiner,Frankie Valli,Annie Parisse,Yaya DaCosta,Comedy Drama Romance,and so it goes
Jeff Kanew,Kellie Martin,Shelley Long,Craig T. Nelson,Adventure Comedy,troop beverly hills
István Szabó,Juliet Stevenson,Shaun Evans,Miriam Margolyes,Comedy Drama Romance,being julia
Adrian Lyne,Kim Chan,Karen Young,David Margulies,Drama Romance,9½ weeks
Matthew Robbins,Albert Salmi,Ralph Richardson,Ian McDiarmid,Action Adventure Fantasy,dragonslayer
Michael Hoffman,Anne-Marie Duff,Kerry Condon,David Masterson,Biography Drama Romance,the last station
Tim Burton,Martin Landau,Bill Murray,Johnny Depp,Biography Comedy Drama,ed wood
Jason Reitman,Brooke Smith,Kate Winslet,J.K. Simmons,Drama,labor day
Sergey Bodrov,Honglei Sun,Khulan Chuluun,Tadanobu Asano,Adventure Biography Drama History War,mongol: the rise of genghis khan
Guy Ritchie,Tom Wilkinson,Gerard Butler,Tom Hardy,Action Crime Thriller,rocknrolla
Hal Needham,Henry Silva,Michael Beck,Barry Bostwick,Action Sci-Fi,megaforce
Kenneth Branagh,Richard Briers,Brian Blessed,Julie Christie,Drama,hamlet
Bruce Beresford,Aden Young,Suzie Steen,Bruce Greenwood,Biography Drama Music Romance,mao's last dancer
Jeff Nichols,Paul Sparks,Sam Shepard,Kirsten Dunst,Adventure Drama Sci-Fi Thriller,midnight special
Woody Allen,Fisher Stevens,Stockard Channing,Woody Allen,Comedy Romance,anything else
Jonathan Teplitzky,Sam Reid,Colin Firth,Jeremy Irvine,Biography Drama Romance War,the railway man
,Dallas Roberts,Dylan Walsh,Poppy Montgomery,Drama Mystery,unforgettable            
Michael Haneke,Leonie Benesch,Burghart Klaußner,Ulrich Tukur,Drama Mystery,the white ribbon
Zack Ward,James Cullen Bressack,Anna Harr,Zack Ward,Horror,restoration
Mike Marvin,Nick Cassavetes,Randy Quaid,Clint Howard,Action Horror Romance Sci-Fi Thriller,the wraith
D.J. Caruso,Anthony LaPaglia,Meat Loaf,Adam Goldberg,Crime Drama Mystery Thriller,the salton sea
Nimród Antal,Lars Ulrich,Mackenzie Gray,James Hetfield,Music,metallica through the never
Gregor Jordan,Lou Taylor Pucci,Brad Renfro,Austin Nichols,Crime Drama Thriller,the informers
,Katharina Schüttler,Nora von Waldstätten,Edgar Ramírez,Biography Crime Drama Thriller,carlos            
Tran Anh Hung,Shawn Yue,Simón Andreu,Takuya Kimura,Thriller,i come with the rain
Lance Hool,Mark Moses,Joaquim de Almeida,Tom Berenger,Action Drama History Romance War Western,one man's hero
George A. Romero,Joseph Pilato,John Amplas,Greg Nicotero,Horror,day of the dead
Chuck Russell,Amanda Schull,Rebecca De Mornay,Sam Trammell,Action Crime Drama Thriller,i am wrath
Christian Volckman,Kevork Malikyan,Catherine McCormack,Romola Garai,Action Animation Sci-Fi Thriller,renaissance
Jon Cassar,Michael Wincott,Landon Liboiron,Demi Moore,Drama Western,forsaken
Richard Fleischer,Sandahl Bergman,Brigitte Nielsen,Ernie Reyes Jr.,Action Adventure Fantasy,red sonja
Rodrigo Cortés,Craig Roberts,Toby Jones,Robert De Niro,Drama Horror Mystery Thriller,red lights
Greg Mottola,Kevin Corrigan,Joe Lo Truglio,Emma Stone,Comedy,superbad
